ts,open,high,low,close,volume,amount
2026-06-18 09:30:00,54.5,54.5,54.5,54.5,50600,2756610.0
2026-06-18 09:31:00,55.0,55.0,54.47,54.5,219300,11957102.0
2026-06-18 09:32:00,54.47,54.47,53.9,53.95,407700,22086267.0
2026-06-18 09:33:00,53.88,53.93,53.79,53.79,275200,14825763.0
2026-06-18 09:34:00,53.8,54.0,53.68,53.98,183400,9876914.0
2026-06-18 09:35:00,53.99,53.99,53.6,53.61,187000,10057033.0
2026-06-18 09:36:00,53.58,53.8,53.58,53.69,213000,11431481.0
2026-06-18 09:37:00,53.66,53.66,53.6,53.63,140800,7552453.0
2026-06-18 09:38:00,53.64,53.64,53.41,53.41,285100,15261262.0
2026-06-18 09:39:00,53.41,53.42,53.18,53.25,202200,10789454.0
2026-06-18 09:40:00,53.1,53.34,53.03,53.26,631000,33546163.0
2026-06-18 09:41:00,53.24,53.27,53.08,53.08,323900,17241911.0
2026-06-18 09:42:00,53.09,53.09,52.77,52.79,432800,22927459.0
2026-06-18 09:43:00,52.8,52.91,52.7,52.91,533100,28133674.0
2026-06-18 09:44:00,52.91,53.46,52.91,53.43,117300,6245901.0
2026-06-18 09:45:00,53.48,53.49,53.31,53.31,129800,6937008.0
2026-06-18 09:46:00,53.3,53.3,53.19,53.2,107800,5736508.0
2026-06-18 09:47:00,53.17,53.18,53.11,53.13,59700,3172631.0
2026-06-18 09:48:00,53.16,53.2,53.14,53.18,86300,4587413.0
2026-06-18 09:49:00,53.2,53.29,53.16,53.27,108700,5787101.0
2026-06-18 09:50:00,53.27,53.27,53.16,53.16,92400,4917581.0
2026-06-18 09:51:00,53.16,53.18,53.11,53.11,84700,4502057.0
2026-06-18 09:52:00,53.11,53.17,53.05,53.13,165200,8773520.0
2026-06-18 09:53:00,53.18,53.22,53.07,53.14,180300,9580404.0
2026-06-18 09:54:00,53.19,53.19,53.0,53.02,165100,8756387.0
2026-06-18 09:55:00,53.02,53.02,52.94,52.94,183600,9730996.0
2026-06-18 09:56:00,52.95,52.96,52.94,52.95,108600,5751516.0
2026-06-18 09:57:00,52.96,53.14,52.96,53.14,151600,8038664.0
2026-06-18 09:58:00,53.14,53.21,53.1,53.21,121400,6453546.0
2026-06-18 09:59:00,53.21,53.26,53.18,53.26,41200,2194610.0
2026-06-18 10:00:00,53.26,53.27,53.16,53.16,98100,5218467.0
2026-06-18 10:01:00,53.14,53.21,53.14,53.19,44400,2361511.0
2026-06-18 10:02:00,53.19,53.21,53.16,53.17,35600,1891915.0
2026-06-18 10:03:00,53.16,53.24,53.16,53.23,88000,4682585.0
2026-06-18 10:04:00,53.21,53.31,53.21,53.3,80200,4270086.0
2026-06-18 10:05:00,53.29,53.35,53.29,53.3,133600,7120346.0
2026-06-18 10:06:00,53.3,53.3,53.19,53.2,72300,3850298.0
2026-06-18 10:07:00,53.2,53.2,53.02,53.02,105300,5594494.0
2026-06-18 10:08:00,53.01,53.06,53.01,53.06,72700,3855069.0
2026-06-18 10:09:00,53.05,53.39,53.05,53.39,233000,12395900.0
2026-06-18 10:10:00,53.39,53.59,53.38,53.47,91000,4864848.0
2026-06-18 10:11:00,53.5,53.5,53.37,53.37,75700,4047250.0
2026-06-18 10:12:00,53.37,53.37,53.28,53.34,106400,5679158.0
2026-06-18 10:13:00,53.32,53.35,53.2,53.35,70600,3764757.0
2026-06-18 10:14:00,53.4,54.0,53.4,53.99,204300,10966570.0
2026-06-18 10:15:00,53.98,53.98,53.86,53.86,102200,5513478.0
2026-06-18 10:16:00,53.84,53.84,53.61,53.64,18600,998377.0
2026-06-18 10:17:00,53.66,53.85,53.66,53.85,33100,1781190.0
2026-06-18 10:18:00,53.86,53.86,53.67,53.67,34700,1864178.0
2026-06-18 10:19:00,53.68,53.72,53.67,53.72,23800,1276854.0
2026-06-18 10:20:00,53.72,53.72,53.6,53.61,32500,1745546.0
2026-06-18 10:21:00,53.58,53.63,53.56,53.63,15700,840384.0
2026-06-18 10:22:00,53.6,53.6,53.5,53.5,21700,1163124.0
2026-06-18 10:23:00,53.5,53.54,53.47,53.54,14000,750142.0
2026-06-18 10:24:00,53.54,53.6,53.52,53.59,10900,581692.0
2026-06-18 10:25:00,53.59,53.59,53.5,53.51,17800,954934.0
2026-06-18 10:26:00,53.47,53.51,53.47,53.51,34300,1837599.0
2026-06-18 10:27:00,53.58,53.58,53.46,53.46,26900,1439545.0
2026-06-18 10:28:00,53.46,53.5,53.46,53.5,46700,2499373.0
2026-06-18 10:29:00,53.5,53.5,53.48,53.49,16200,866546.0
2026-06-18 10:30:00,53.48,53.49,53.46,53.46,18600,994698.0
2026-06-18 10:31:00,53.47,53.48,53.47,53.47,21700,1158205.0
2026-06-18 10:32:00,53.47,53.47,53.25,53.25,71100,3794995.0
2026-06-18 10:33:00,53.3,53.3,53.2,53.22,34200,1822927.0
2026-06-18 10:34:00,53.21,53.28,53.21,53.27,18400,980526.0
2026-06-18 10:35:00,53.27,53.31,53.27,53.3,22300,1190423.0
2026-06-18 10:36:00,53.33,53.36,53.31,53.36,34700,1851571.0
2026-06-18 10:37:00,53.34,53.43,53.3,53.33,103500,5529553.0
2026-06-18 10:38:00,53.46,53.5,53.46,53.49,15600,834464.0
2026-06-18 10:39:00,53.49,53.49,53.07,53.07,99500,5299609.0
2026-06-18 10:40:00,53.36,53.36,53.22,53.3,12600,670978.0
2026-06-18 10:41:00,53.26,53.43,53.26,53.37,10700,572756.0
2026-06-18 10:42:00,53.37,53.46,53.37,53.39,20100,1073349.0
2026-06-18 10:43:00,53.39,53.39,53.27,53.27,22900,1219502.0
2026-06-18 10:44:00,53.28,53.28,53.26,53.27,10400,554035.0
2026-06-18 10:45:00,53.27,53.28,53.26,53.26,21600,1150602.0
2026-06-18 10:46:00,53.26,53.29,53.23,53.24,18300,974538.0
2026-06-18 10:47:00,53.25,53.25,53.22,53.22,80200,4272327.0
2026-06-18 10:48:00,53.22,53.22,53.16,53.16,32700,1737332.0
2026-06-18 10:49:00,53.17,53.18,53.15,53.16,19400,1031391.0
2026-06-18 10:50:00,53.16,53.16,53.13,53.13,30300,1612289.0
2026-06-18 10:51:00,53.13,53.13,53.05,53.05,26700,1415612.0
2026-06-18 10:52:00,53.03,53.07,53.03,53.05,85000,4511422.0
2026-06-18 10:53:00,53.04,53.06,53.04,53.06,34300,1821569.0
2026-06-18 10:54:00,53.06,53.13,53.06,53.12,24100,1277223.0
2026-06-18 10:55:00,53.13,53.13,53.09,53.09,33100,1760256.0
2026-06-18 10:56:00,53.08,53.08,53.02,53.02,76300,4044930.0
2026-06-18 10:57:00,53.03,53.04,53.01,53.04,50800,2691403.0
2026-06-18 10:58:00,53.02,53.09,53.02,53.06,8600,455175.0
2026-06-18 10:59:00,53.06,53.1,53.05,53.1,15800,836382.0
2026-06-18 11:00:00,53.1,53.16,53.09,53.16,30400,1616357.0
2026-06-18 11:01:00,53.17,53.23,53.16,53.23,11500,613700.0
2026-06-18 11:02:00,53.2,53.22,53.18,53.18,31600,1680968.0
2026-06-18 11:03:00,53.18,53.19,53.1,53.1,42100,2237662.0
2026-06-18 11:04:00,53.1,53.15,53.08,53.15,10800,575647.0
2026-06-18 11:05:00,53.09,53.1,53.06,53.07,12000,634805.0
2026-06-18 11:06:00,53.07,53.08,53.06,53.08,9900,525400.0
2026-06-18 11:07:00,53.08,53.15,53.07,53.08,20200,1074567.0
2026-06-18 11:08:00,53.1,53.19,53.1,53.16,12100,640756.0
2026-06-18 11:09:00,53.16,53.19,53.16,53.16,9000,477405.0
2026-06-18 11:10:00,53.16,53.19,53.16,53.18,9300,494474.0
2026-06-18 11:11:00,53.17,53.18,53.17,53.17,12500,662528.0
2026-06-18 11:12:00,53.16,53.17,53.09,53.09,33200,1766130.0
2026-06-18 11:13:00,53.11,53.11,53.06,53.06,25300,1344126.0
2026-06-18 11:14:00,53.07,53.07,53.05,53.05,19500,1034671.0
2026-06-18 11:15:00,53.05,53.06,53.03,53.03,32800,1742056.0
2026-06-18 11:16:00,53.04,53.07,53.04,53.04,35500,1883279.0
2026-06-18 11:17:00,53.05,53.19,53.04,53.04,8400,448137.0
2026-06-18 11:18:00,53.05,53.06,53.04,53.05,8400,447758.0
2026-06-18 11:19:00,53.05,53.1,53.05,53.09,20600,1090939.0
2026-06-18 11:20:00,53.06,53.06,53.04,53.04,22600,1199628.0
2026-06-18 11:21:00,53.05,53.05,53.04,53.05,17400,925307.0
2026-06-18 11:22:00,53.04,53.06,53.04,53.06,9900,524918.0
2026-06-18 11:23:00,53.05,53.09,53.04,53.04,56500,2998033.0
2026-06-18 11:24:00,53.05,53.08,53.04,53.08,13100,692571.0
2026-06-18 11:25:00,53.08,53.08,53.05,53.05,16800,889306.0
2026-06-18 11:26:00,53.06,53.07,53.06,53.07,24100,1278919.0
2026-06-18 11:27:00,53.06,53.09,53.06,53.08,29400,1562603.0
2026-06-18 11:28:00,53.07,53.13,53.07,53.13,23300,1239402.0
2026-06-18 11:29:00,53.13,53.13,53.12,53.13,16000,847943.0
2026-06-18 11:30:00,53.13,53.14,53.09,53.1,13000,688270.0
2026-06-18 13:01:00,53.09,53.13,53.06,53.07,57700,3064457.0
2026-06-18 13:02:00,53.07,53.07,53.05,53.05,28500,1510672.0
2026-06-18 13:03:00,53.06,53.2,53.06,53.2,18000,957463.0
2026-06-18 13:04:00,53.2,53.23,53.15,53.2,22800,1212066.0
2026-06-18 13:05:00,53.22,53.23,53.2,53.2,36000,1916928.0
2026-06-18 13:06:00,53.2,53.2,53.1,53.1,16800,893049.0
2026-06-18 13:07:00,53.1,53.1,53.07,53.07,18200,965096.0
2026-06-18 13:08:00,53.06,53.07,53.05,53.05,63100,3347760.0
2026-06-18 13:09:00,53.05,53.07,52.96,52.96,312300,16558954.0
2026-06-18 13:10:00,52.96,52.96,52.93,52.93,46600,2465089.0
2026-06-18 13:11:00,52.93,52.97,52.93,52.97,32700,1729336.0
2026-06-18 13:12:00,52.99,53.07,52.98,53.07,141600,7503016.0
2026-06-18 13:13:00,53.07,53.07,53.0,53.0,106200,5633063.0
2026-06-18 13:14:00,53.01,53.07,53.01,53.06,11800,624340.0
2026-06-18 13:15:00,53.07,53.1,53.04,53.05,21200,1124971.0
2026-06-18 13:16:00,53.04,53.06,52.99,52.99,60700,3215810.0
2026-06-18 13:17:00,52.99,53.0,52.96,52.96,67200,3560220.0
2026-06-18 13:18:00,52.96,52.96,52.92,52.92,36900,1953347.0
2026-06-18 13:19:00,52.92,52.97,52.92,52.97,42600,2254914.0
2026-06-18 13:20:00,52.94,52.95,52.92,52.94,45200,2391781.0
2026-06-18 13:21:00,52.95,52.95,52.94,52.95,14400,764509.0
2026-06-18 13:22:00,52.95,52.95,52.94,52.94,27000,1427290.0
2026-06-18 13:23:00,52.94,52.95,52.93,52.95,57900,3065221.0
2026-06-18 13:24:00,52.95,52.96,52.94,52.94,21700,1148919.0
2026-06-18 13:25:00,52.96,52.98,52.95,52.97,15800,834617.0
2026-06-18 13:26:00,52.97,52.99,52.95,52.99,19600,1037991.0
2026-06-18 13:27:00,52.96,53.05,52.96,53.05,30800,1629900.0
2026-06-18 13:28:00,53.06,53.1,53.06,53.06,17700,937410.0
2026-06-18 13:29:00,53.1,53.1,53.05,53.08,14400,762989.0
2026-06-18 13:30:00,53.09,53.1,53.07,53.07,10900,578592.0
2026-06-18 13:31:00,53.07,53.09,53.07,53.09,16000,847145.0
2026-06-18 13:32:00,53.08,53.09,53.06,53.06,20100,1069116.0
2026-06-18 13:33:00,53.08,53.09,53.04,53.04,26100,1384914.0
2026-06-18 13:34:00,53.03,53.04,53.02,53.03,16500,876008.0
2026-06-18 13:35:00,53.03,53.04,53.03,53.03,19500,1033013.0
2026-06-18 13:36:00,53.03,53.04,53.02,53.02,22700,1203733.0
2026-06-18 13:37:00,53.02,53.02,52.98,52.98,42900,2273645.0
2026-06-18 13:38:00,52.98,53.02,52.95,53.02,55400,2935925.0
2026-06-18 13:39:00,53.02,53.05,53.0,53.05,31400,1664712.0
2026-06-18 13:40:00,53.05,53.1,53.01,53.09,49200,2608586.0
2026-06-18 13:41:00,53.09,53.1,53.09,53.09,16200,862278.0
2026-06-18 13:42:00,53.1,53.14,53.09,53.12,31600,1675913.0
2026-06-18 13:43:00,53.14,53.35,53.14,53.35,59800,3185371.0
2026-06-18 13:44:00,53.36,53.45,53.36,53.44,31200,1664093.0
2026-06-18 13:45:00,53.44,53.53,53.44,53.48,71900,3845392.0
2026-06-18 13:46:00,53.49,53.49,53.38,53.38,37100,1982034.0
2026-06-18 13:47:00,53.38,53.39,53.34,53.34,32900,1757142.0
2026-06-18 13:48:00,53.35,53.35,53.2,53.2,17300,921897.0
2026-06-18 13:49:00,53.24,53.34,53.2,53.34,29500,1569983.0
2026-06-18 13:50:00,53.33,53.33,53.26,53.27,9700,514959.0
2026-06-18 13:51:00,53.27,53.27,53.2,53.22,16800,895222.0
2026-06-18 13:52:00,53.24,53.27,53.22,53.25,10900,582504.0
2026-06-18 13:53:00,53.26,53.26,53.24,53.26,6800,362105.0
2026-06-18 13:54:00,53.26,53.26,53.24,53.25,8800,468620.0
2026-06-18 13:55:00,53.26,53.27,53.25,53.26,8300,439919.0
2026-06-18 13:56:00,53.25,53.27,53.24,53.27,8700,465432.0
2026-06-18 13:57:00,53.27,53.3,53.27,53.29,11100,590422.0
2026-06-18 13:58:00,53.29,53.29,53.27,53.27,8400,448582.0
2026-06-18 13:59:00,53.28,53.28,53.26,53.26,6500,347315.0
2026-06-18 14:00:00,53.25,53.26,53.24,53.24,10700,568697.0
2026-06-18 14:01:00,53.23,53.26,53.21,53.22,15300,812256.0
2026-06-18 14:02:00,53.22,53.47,53.21,53.45,86600,4619575.0
2026-06-18 14:03:00,53.45,53.45,53.36,53.37,15700,838862.0
2026-06-18 14:04:00,53.36,53.36,53.22,53.22,11300,602465.0
2026-06-18 14:05:00,53.22,53.25,53.22,53.24,10200,543050.0
2026-06-18 14:06:00,53.3,53.3,53.23,53.28,19700,1046852.0
2026-06-18 14:07:00,53.27,53.36,53.25,53.36,21300,1134976.0
2026-06-18 14:08:00,53.36,53.37,53.31,53.34,21400,1141858.0
2026-06-18 14:09:00,53.34,53.47,53.31,53.47,47100,2514320.0
2026-06-18 14:10:00,53.4,53.48,53.4,53.48,35600,1904204.0
2026-06-18 14:11:00,53.47,53.49,53.46,53.49,38200,2043662.0
2026-06-18 14:12:00,53.49,53.57,53.49,53.54,38700,2069303.0
2026-06-18 14:13:00,53.54,53.57,53.53,53.55,19900,1065742.0
2026-06-18 14:14:00,53.54,53.55,53.49,53.49,59000,3157479.0
2026-06-18 14:15:00,53.48,53.48,53.38,53.38,31200,1665289.0
2026-06-18 14:16:00,53.38,53.38,53.31,53.31,13900,741479.0
2026-06-18 14:17:00,53.31,53.33,53.28,53.28,61900,3299469.0
2026-06-18 14:18:00,53.28,53.31,53.28,53.31,23300,1240687.0
2026-06-18 14:19:00,53.31,53.36,53.31,53.36,9900,525786.0
2026-06-18 14:20:00,53.35,53.4,53.35,53.4,6500,349043.0
2026-06-18 14:21:00,53.4,53.4,53.36,53.38,13500,718448.0
2026-06-18 14:22:00,53.35,53.35,53.32,53.33,21400,1140530.0
2026-06-18 14:23:00,53.33,53.35,53.32,53.35,27400,1462702.0
2026-06-18 14:24:00,53.35,53.37,53.33,53.33,31600,1684569.0
2026-06-18 14:25:00,53.33,53.35,53.31,53.34,21900,1168011.0
2026-06-18 14:26:00,53.34,53.34,53.31,53.31,20800,1109087.0
2026-06-18 14:27:00,53.31,53.37,53.31,53.36,25500,1357660.0
2026-06-18 14:28:00,53.37,53.38,53.37,53.37,16600,885975.0
2026-06-18 14:29:00,53.36,53.37,53.33,53.34,11500,613510.0
2026-06-18 14:30:00,53.32,53.32,53.3,53.3,22400,1194217.0
2026-06-18 14:31:00,53.3,53.34,53.3,53.3,18300,975663.0
2026-06-18 14:32:00,53.3,53.3,53.26,53.28,56700,3022161.0
2026-06-18 14:33:00,53.26,53.3,53.26,53.26,24100,1285060.0
2026-06-18 14:34:00,53.28,53.28,53.24,53.24,43700,2326236.0
2026-06-18 14:35:00,53.25,53.25,53.2,53.2,51600,2743525.0
2026-06-18 14:36:00,53.19,53.2,53.1,53.1,45200,2403851.0
2026-06-18 14:37:00,53.1,53.1,53.07,53.07,38200,2028143.0
2026-06-18 14:38:00,53.08,53.09,53.05,53.06,40800,2164057.0
2026-06-18 14:39:00,53.05,53.06,53.01,53.02,22700,1204025.0
2026-06-18 14:40:00,53.01,53.02,52.99,53.0,120100,6363726.0
2026-06-18 14:41:00,52.99,53.0,52.97,52.98,42900,2273941.0
2026-06-18 14:42:00,52.99,52.99,52.96,52.96,50700,2688033.0
2026-06-18 14:43:00,52.97,52.98,52.93,52.93,70100,3712190.0
2026-06-18 14:44:00,52.93,52.93,52.91,52.91,82000,4341523.0
2026-06-18 14:45:00,52.92,52.93,52.91,52.91,65900,3486270.0
2026-06-18 14:46:00,52.92,52.94,52.92,52.92,63600,3365174.0
2026-06-18 14:47:00,52.93,52.93,52.92,52.92,67400,3566669.0
2026-06-18 14:48:00,52.91,52.92,52.9,52.9,67300,3559958.0
2026-06-18 14:49:00,52.91,52.91,52.9,52.91,89800,4749890.0
2026-06-18 14:50:00,52.91,52.91,52.89,52.89,61900,3273201.0
2026-06-18 14:51:00,52.9,52.9,52.88,52.88,59000,3122598.0
2026-06-18 14:52:00,52.89,52.89,52.88,52.88,72700,3843683.0
2026-06-18 14:53:00,52.88,52.89,52.87,52.88,66700,3526964.0
2026-06-18 14:54:00,52.89,52.89,52.86,52.88,88100,4656825.0
2026-06-18 14:55:00,52.87,52.87,52.82,52.82,132300,6993753.0
2026-06-18 14:56:00,52.82,52.83,52.81,52.82,81400,4299459.0
2026-06-18 14:57:00,52.82,52.83,52.81,52.82,81300,4295005.0
2026-06-18 14:58:00,52.82,52.82,52.82,52.82,1300,68666.0
2026-06-18 14:59:00,52.82,52.82,52.82,52.82,0,0.0
2026-06-18 15:00:00,52.81,52.81,52.81,52.81,186500,9848009.0
